timestamp,close,high,low,open
2016-11-29 09:00:00,49.119,49.124,49.115,49.12
2016-11-29 09:00:30,49.134,49.134,49.121,49.121
2016-11-29 09:01:00,49.134,49.134,49.129,49.133
2016-11-29 09:01:30,49.144,49.146,49.139,49.139
2016-11-29 09:02:00,49.149,49.152,49.146,49.146
2016-11-29 09:02:30,49.144,49.151,49.144,49.147
2016-11-29 09:03:00,49.151,49.151,49.147,49.147
2016-11-29 09:03:30,49.134,49.147,49.134,49.147
2016-11-29 09:04:00,49.131,49.139,49.131,49.139
2016-11-29 09:04:30,49.119,49.127,49.119,49.127
2016-11-29 09:05:00,49.115,49.12,49.115,49.12
2016-11-29 09:05:30,49.107,49.116,49.104,49.116
2016-11-29 09:06:00,49.111,49.111,49.105,49.107
2016-11-29 09:06:30,49.114,49.114,49.111,49.111
2016-11-29 09:07:00,49.1,49.111,49.1,49.111
2016-11-29 09:07:30,49.102,49.103,49.099,49.103
2016-11-29 09:08:00,49.111,49.111,49.101,49.103
2016-11-29 09:08:30,49.111,49.117,49.111,49.115
2016-11-29 09:09:00,49.104,49.114,49.102,49.114
2016-11-29 09:09:30,49.099,49.102,49.097,49.1
2016-11-29 09:10:00,49.106,49.11,49.102,49.102
2016-11-29 09:10:30,49.103,49.107,49.103,49.104
2016-11-29 09:11:00,49.101,49.105,49.1,49.105
2016-11-29 09:11:30,49.094,49.098,49.094,49.098
2016-11-29 09:12:00,49.092,49.095,49.09,49.095
2016-11-29 09:12:30,49.096,49.099,49.092,49.092
2016-11-29 09:13:00,49.092,49.096,49.092,49.096
2016-11-29 09:13:30,49.098,49.098,49.091,49.092
2016-11-29 09:14:00,49.099,49.101,49.096,49.101
2016-11-29 09:14:30,49.093,49.102,49.093,49.098
2016-11-29 09:15:00,49.089,49.091,49.089,49.09
2016-11-29 09:15:30,49.09,49.093,49.09,49.09
2016-11-29 09:16:00,49.094,49.094,49.085,49.087
2016-11-29 09:16:30,49.103,49.103,49.094,49.097
2016-11-29 09:17:00,49.099,49.103,49.097,49.099
