timestamp,close,high,low,open
2017-06-01 09:00:00,45.214,45.3,45.214,45.3
2017-06-01 09:00:30,45.201,45.211,45.169,45.169
2017-06-01 09:01:00,45.256,45.256,45.18,45.182
2017-06-01 09:01:30,45.195,45.253,45.195,45.253
2017-06-01 09:02:00,45.182,45.222,45.166,45.222
2017-06-01 09:02:30,45.298,45.298,45.201,45.201
2017-06-01 09:03:00,45.284,45.287,45.253,45.259
2017-06-01 09:03:30,45.263,45.302,45.255,45.3
2017-06-01 09:04:00,45.134,45.246,45.134,45.246
2017-06-01 09:04:30,45.195,45.195,45.129,45.129
2017-06-01 09:05:00,45.223,45.246,45.169,45.186
2017-06-01 09:05:30,45.319,45.319,45.224,45.256
2017-06-01 09:06:00,45.396,45.396,45.331,45.331
2017-06-01 09:06:30,45.397,45.414,45.386,45.409
2017-06-01 09:07:00,45.372,45.399,45.372,45.399
2017-06-01 09:07:30,45.405,45.405,45.384,45.384
2017-06-01 09:08:00,45.378,45.41,45.375,45.41
2017-06-01 09:08:30,45.386,45.399,45.374,45.374
2017-06-01 09:09:00,45.402,45.403,45.358,45.358
2017-06-01 09:09:30,45.363,45.383,45.363,45.381
2017-06-01 09:10:00,45.421,45.421,45.378,45.378
2017-06-01 09:10:30,45.436,45.461,45.425,45.425
2017-06-01 09:11:00,45.42,45.436,45.42,45.431
2017-06-01 09:11:30,45.5,45.5,45.415,45.415
2017-06-01 09:12:00,45.514,45.519,45.498,45.512
2017-06-01 09:12:30,45.511,45.523,45.498,45.523
2017-06-01 09:13:00,45.529,45.532,45.504,45.504
2017-06-01 09:13:30,45.476,45.523,45.476,45.515
2017-06-01 09:14:00,45.425,45.461,45.425,45.456
2017-06-01 09:14:30,45.487,45.487,45.45,45.45
2017-06-01 09:15:00,45.488,45.493,45.481,45.493
2017-06-01 09:15:30,45.492,45.501,45.473,45.501
2017-06-01 09:16:00,45.516,45.519,45.498,45.509
2017-06-01 09:16:30,45.466,45.506,45.464,45.503
2017-06-01 09:17:00,45.434,45.461,45.434,45.446
2017-06-01 09:17:30,45.404,45.439,45.404,45.439
2017-06-01 09:18:00,45.48,45.487,45.427,45.427
2017-06-01 09:18:30,45.539,45.539,45.491,45.491
2017-06-01 09:19:00,45.533,45.533,45.503,45.531
2017-06-01 09:19:30,45.557,45.557,45.533,45.538
2017-06-01 09:20:00,45.593,45.593,45.565,45.565
2017-06-01 09:20:30,45.589,45.609,45.583,45.609
2017-06-01 09:21:00,45.609,45.614,45.583,45.583
2017-06-01 09:21:30,45.616,45.616,45.592,45.596
2017-06-01 09:22:00,45.629,45.629,45.609,45.619
2017-06-01 09:22:30,45.609,45.641,45.609,45.641
2017-06-01 09:23:00,45.62,45.632,45.609,45.615
2017-06-01 09:23:30,45.631,45.665,45.631,45.632
2017-06-01 09:24:00,45.625,45.627,45.607,45.62
2017-06-01 09:24:30,45.578,45.615,45.578,45.615
2017-06-01 09:25:00,45.549,45.579,45.547,45.579
2017-06-01 09:25:30,45.5,45.555,45.5,45.555
2017-06-01 09:26:00,45.478,45.483,45.466,45.483
2017-06-01 09:26:30,45.466,45.483,45.443,45.483
2017-06-01 09:27:00,45.461,45.498,45.461,45.485
2017-06-01 09:27:30,45.468,45.477,45.449,45.477
2017-06-01 09:28:00,45.413,45.44,45.403,45.44
2017-06-01 09:28:30,45.394,45.428,45.394,45.428
2017-06-01 09:29:00,45.422,45.425,45.373,45.381
2017-06-01 09:29:30,45.386,45.414,45.375,45.414
2017-06-01 09:30:00,45.344,45.369,45.339,45.369
2017-06-01 09:30:30,45.353,45.39,45.353,45.354
2017-06-01 09:31:00,45.356,45.369,45.344,45.353
2017-06-01 09:31:30,45.397,45.404,45.358,45.358
2017-06-01 09:32:00,45.364,45.385,45.364,45.385
2017-06-01 09:32:30,45.325,45.381,45.325,45.358
2017-06-01 09:33:00,45.322,45.322,45.293,45.304
2017-06-01 09:33:30,45.318,45.33,45.306,45.316
2017-06-01 09:34:00,45.351,45.355,45.311,45.311
2017-06-01 09:34:30,45.368,45.368,45.338,45.338
2017-06-01 09:35:00,45.418,45.426,45.388,45.388
2017-06-01 09:35:30,45.387,45.431,45.387,45.393
2017-06-01 09:36:00,45.36,45.382,45.352,45.371
2017-06-01 09:36:30,45.326,45.344,45.325,45.344
